YEAR,LOCATION_CODE,REACH,STRATUM,EF_EFFORT,SPECIES,NUMBER,LENGTH,WEIGHT
2020,20I6.1R14,I06,MCB-U,15,SCP,1,532,1414
2020,20I6.1R14,I06,MCB-U,15,SCP,1,534,1522
2020,20I6.1R14,I06,MCB-U,15,SCP,1,530,1661
2020,20I6.1R14,I06,MCB-U,15,SCP,1,509,1340
2020,20I6.1R14,I06,MCB-U,15,SCP,1,535,1620
2020,20I6.1R14,I06,MCB-U,15,SCP,1,567,1842
2020,20I6.1R14,I06,MCB-U,15,SCP,1,539,1478
2020,20I6.1R14,I06,MCB-U,15,SCP,1,546,1757
2020,20I6.1R14,I06,MCB-U,15,SCP,1,566,1923
2020,20I6.1R14,I06,MCB-U,15,SCP,1,552,1726
2020,20I6.1R14,I06,MCB-U,15,SCP,1,504,1360
2020,20I6.1R14,I06,MCB-U,15,SCP,1,545,1674
2020,20I6.1R14,I06,MCB-U,15,SCP,1,552,1716
2020,20I6.1R14,I06,MCB-U,15,CAP,1,541,2065
2020,20I6.1R14,I06,MCB-U,15,CAP,1,505,1875
2020,20I6.1R14,I06,MCB-U,15,CAP,1,526,1999
2020,20I6.1R14,I06,MCB-U,15,CAP,1,533,2227
2020,20I6.1R14,I06,MCB-U,15,CAP,1,483,1845
2020,20I6.1R14,I06,MCB-U,15,CAP,1,489,1639
2020,20I6.1R14,I06,MCB-U,15,CAP,1,501,1947
2020,20I6.1R14,I06,MCB-U,15,CAP,1,526,2456
2020,20I6.1R14,I06,MCB-U,15,CAP,1,678,4868
2020,20I6.1R14,I06,MCB-U,15,SCP,1,534,1439
2020,20I6.1R14,I06,MCB-U,15,GZS,1,136,
2020,20I6.1R14,I06,MCB-U,15,LOG,1,118,4
2020,20I6.1R14,I06,MCB-U,15,BLC,1,219,180
2020,20I6.1R14,I06,MCB-U,15,SAR,1,232,104
2020,20I6.1R14,I06,MCB-U,15,BLG,1,171,115
2020,20I6.1R14,I06,MCB-U,15,WHB,1,30,
2020,20I6.1R11,I06,MCB-U,15,SCP,1,564,1904
2020,20I6.1R11,I06,MCB-U,15,SAB,1,156,54
2020,20I6.1R11,I06,MCB-U,15,UCT,1,60,
2020,20I6.1R11,I06,MCB-U,15,FRD,1,324,432
2020,20I6.1R11,I06,MCB-U,15,GZS,1,70,
2020,20I6.1R11,I06,MCB-U,15,GZS,2,60,
2020,20I6.1R11,I06,MCB-U,15,GZS,6,40,
2020,20I6.1R11,I06,MCB-U,15,GZS,6,50,
2020,20I6.1R11,I06,MCB-U,15,GZS,6,30,
2020,20I6.1R11,I06,MCB-U,15,EMS,1,80,
2020,20I6.1R11,I06,MCB-U,15,EMS,1,70,
2020,20I6.1R11,I06,MCB-U,15,YLB,1,134,37
2020,20I6.1R11,I06,MCB-U,15,EMS,15,20,
2020,20I6.1R11,I06,MCB-U,15,EMS,11,30,
2020,20I6.1R11,I06,MCB-U,15,EMS,1,,
2020,20I6.1HEN,I06,SCB,15,SCP,1,555,1969
2020,20I6.1HEN,I06,SCB,15,SCP,1,556,1851
2020,20I6.1HEN,I06,SCB,15,SCP,1,532,1530
2020,20I6.1HEN,I06,SCB,15,SCP,1,557,1851
2020,20I6.1HEN,I06,SCB,15,SCP,1,566,1909
2020,20I6.1HEN,I06,SCB,15,SCP,1,545,1731
2020,20I6.1HEN,I06,SCB,15,SCP,1,525,1508
2020,20I6.1HEN,I06,SCB,15,SCP,1,601,2467
2020,20I6.1HEN,I06,SCB,15,SCP,1,558,2032
2020,20I6.1HEN,I06,SCB,15,SCP,1,562,2154
2020,20I6.1HEN,I06,SCB,15,SCP,1,542,1679
2020,20I6.1HEN,I06,SCB,15,SCP,1,513,1330
2020,20I6.1HEN,I06,SCB,15,SCP,1,521,1584
2020,20I6.1HEN,I06,SCB,15,SCP,1,560,1967
2020,20I6.1HEN,I06,SCB,15,SCP,1,603,2243
2020,20I6.1HEN,I06,SCB,15,SCP,1,531,1527
2020,20I6.1HEN,I06,SCB,15,CAP,1,378,762
2020,20I6.1HEN,I06,SCB,15,SCP,1,511,1379
2020,20I6.1HEN,I06,SCB,15,FCF,1,353,410
2020,20I6.1HEN,I06,SCB,15,SCP,1,502,1373
2020,20I6.1HEN,I06,SCB,15,SCP,1,510,1397
2020,20I6.1HEN,I06,SCB,15,CCF,1,414,668
2020,20I6.1HEN,I06,SCB,15,FRD,1,351,547
2020,20I6.1HEN,I06,SCB,15,BLG,1,134,58
